stores_id,Name,store_url
674,"Meo Quán - Mì Cay, Đồ Ăn Vặt & Trà Hoa Quả",https://shopeefood.vn/ha-noi/meo-quan-mi-cay-do-an-vat-tra-hoa-qua
675,Kelly Milk Tea - 30 Tiến Thành,https://shopeefood.vn/ha-noi/kelly-milk-tea-30-tien-thanh
676,Chocoffee - Đào Tấn,https://shopeefood.vn/ha-noi/chocoffee-dao-tan
677,"Trà Trái Cây, Sinh Tố & Nước Ép - ChiMini",https://shopeefood.vn/ha-noi/tra-trai-cay-sinh-to-nuoc-ep-chimini
678,Hiha Ăn Vặt - Kim Giang,https://shopeefood.vn/ha-noi/hiha-an-vat-kim-giang
679,"Quốc Toản - Bún, Miến & Bánh Đa Trộn - Nghĩa Tân",https://shopeefood.vn/ha-noi/quoc-toan-bun-mien-banh-da-tron-nghia-tan
680,"Tiệm Mì Sinh Viên - Đồ Đêm, Mì Trộn & Nước - 91/35 Số 2 Nguyễn Chí Thanh",https://shopeefood.vn/ha-noi/tiem-mi-sinh-vien-do-dem-mi-tron-nuoc-91-35-so-2-nguyen-chi-thanh
681,Bếp An Khang - Quan Nhân,https://shopeefood.vn/ha-noi/bep-an-khang-quan-nhan
682,Chè Ngon Sài Gòn - Chè Thái Thập Cẩm - Nguyễn Chánh,https://shopeefood.vn/ha-noi/che-ngon-sai-gon-che-thai-thap-cam-nguyen-chanh.rtyoxl
683,Dương - Cơm Tấm Sài Gòn,https://shopeefood.vn/ha-noi/com-tam-duong-vu-huu
684,Cơm Rang Dưa Bò - Gà Sốt ULa - 81 Nguyễn Khang,https://shopeefood.vn/ha-noi/com-rang-dua-bo-ga-sot-ula-81-nguyen-khang
685,Đệ Nhất Sủi Cảo Bảo Hoa Viên - Giảng Võ,https://shopeefood.vn/ha-noi/de-nhat-sui-cao-bao-hoa-vien-giang-vo
686,Xôi Bà Ngà - Đồ ăn - Thuỵ Khuê,https://shopeefood.vn/ha-noi/xoi-ba-nga-do-an-thuy-khue.pwse51
687,Deilyno - Bún Trộn Nam Bộ & Miến Trộn Đặc Biệt - Tả Thanh Oai,https://shopeefood.vn/ha-noi/deilyno-bun-tron-nam-bo-mien-tron-dac-biet-ta-thanh-oai
688,Bún Thủy - Trần Nhật Duật,https://shopeefood.vn/ha-noi/bun-thuy-tran-nhat-duat
689,Long Wang Cơ Sở 1 - Dim Sum Hongkong - 84 Ngọc Khánh,https://shopeefood.vn/ha-noi/long-wang-co-so-1-dim-sum-hongkong-84-ngoc-khanh
690,Bếp Nhà Bun - Chân Gà Sả Ớt Online - Nguyễn Văn Huyên,https://shopeefood.vn/ha-noi/bep-nha-bun-chan-ga-sa-ot-online-nguyen-van-huyen
691,Sữa Chua Trân Châu Hạ Long Delivery - Tân Triều,https://shopeefood.vn/ha-noi/sua-chua-tran-chau-ha-long-delivery-tan-trieu
692,Savor - Bánh Mì & Trà Sữa - Nguyễn Huy Tưởng,https://shopeefood.vn/ha-noi/savor-banh-mi-tra-sua-nguyen-huy-tuong
693,Thu Hằng - Bánh Tráng Trộn & Nước Ép,https://shopeefood.vn/ha-noi/thu-hang-banh-trang-tron-nuoc-ep
694,Trà Sữa Tiger Sugar - Nguyễn Chính,https://shopeefood.vn/ha-noi/tra-sua-tiger-sugar-nguyen-chinh
695,Trà Bí Đao Plus - Nguyễn Chính,https://shopeefood.vn/ha-noi/tra-bi-dao-plus-nguyen-chinh
696,Sữa Chua Trân Châu Hạ Long Healthy - Nguyễn Chính,https://shopeefood.vn/ha-noi/sua-chua-tran-chau-ha-long-healthy-nguyen-chinh
697,Happy Lunch - Đường Láng,https://shopeefood.vn/ha-noi/happy-lunch-duong-lang
